customer_id,email,loyalty_points,feedback_score,preferred_store,newsletter_subscribed
1,ypandit@example.com,NA,,Hyderabad,
2,bjohal@example.com,4089,8,Bengaluru,No
3,ilata@example.net,NA,,Bengaluru,N
4,rajaudant@example.org,257,2,Bengaluru,
5,tdave@example.org,3978,,Hyderabad,No
6,prasadaadhya@example.org,NA,,Bengaluru,Y
7,vhayer@example.org,,6,Bengaluru,
8,abeer66@example.net,NA,7,Mumbai,No
9,fradobalakrishnan@example.net,,,Bengaluru,
10,vsathe@example.net,NA,,,N
11,yochanaram@example.net,NA,9,,
12,kadeom@example.org,2881,,Mumbai,N
13,gaganbalay@example.org,,1,Mumbai,No
14,sawhneyekta@example.org,NA,,Mumbai,
15,omajaandra@example.org,NA,9,,
16,ochowdhury@example.org,,9,,N
17,csheth@example.com,,,,N
18,nandavrinda@example.com,3622,,,Yes
19,sehgaldayamai@example.org,NA,,Hyderabad,
20,chameli14@example.org,NA,,Bengaluru,No
21,rkulkarni@example.com,NA,2,Bengaluru,No
22,patilvictor@example.org,76,5,Hyderabad,N
23,,NA,,Bengaluru,Y
24,aradhana94@example.net,NA,,Bengaluru,
25,,,,Hyderabad,
26,isur@example.org,NA,9,,
27,chaayananda@example.com,,,Hyderabad,Yes
28,bbhattacharyya@example.net,,3,,Yes
29,rpandya@example.com,,,Hyderabad,Yes
30,tamanna23@example.net,NA,,,Yes
31,hgola@example.com,607,,Hyderabad,Yes
32,mgole@example.net,,,Mumbai,Y
33,ggopal@example.org,357,6,,
34,hayersaumya@example.com,1931,9,Mumbai,Yes
35,ayushmanmuni@example.com,,,Mumbai,
36,urmi38@example.net,NA,9,Hyderabad,Y
37,kbalan@example.net,,9,Mumbai,Yes
38,mtank@example.net,,2,Hyderabad,N
39,kamalasarin@example.org,4238,3,Mumbai,N
40,vivaan54@example.org,2474,,Bengaluru,N
41,agarwaladvaith@example.com,1305,,,Y
42,wdey@example.net,,,Hyderabad,Yes
43,arya62@example.org,,,Hyderabad,No
44,bhargavadevansh@example.org,2240,,,Y
45,,,,,
46,tgupta@example.com,,9,Mumbai,No
47,chandreshbail@example.org,,,Mumbai,N
48,regedevansh@example.com,,,Bengaluru,
49,isaiah87@example.net,,5,Hyderabad,Yes
50,ekantika06@example.com,NA,,Mumbai,Y
51,bchander@example.com,,10,,No
52,dhriti55@example.net,2765,,,No
53,menonira@example.org,,2,Mumbai,No
54,hiralnadig@example.com,NA,1,Bengaluru,Yes
55,nathaniel48@example.com,3075,,Hyderabad,
56,pandyavihaan@example.com,,10,,No
57,nayakzaid@example.net,NA,,Bengaluru,No
